starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,Creating tmp table,executing,end,query end,waiting for handler commit,removing tmp table,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
5.2000000000000004e-05,7.000000000000003e-06,8e-06,2.4e-05,9e-06,1e-05,8e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.2e-05,0.039193,1.7e-05,7.000000000000003e-06,2e-05,4.8e-05,1e-05,3.9e-05,1.3000000000000001e-05,0.039523,19312,19312.0,1606373402.0966942
5.2e-05,7.000000000000003e-06,8e-06,2.2e-05,8e-06,1.1e-05,8e-06,1.3e-05,1.2e-05,3.3e-05,0.040266,1.6e-05,8e-06,2.1e-05,4.1e-05,1e-05,3.5e-05,1.3e-05,0.040584,19701,19701.0,1606373462.2102098
5.1e-05,7.000000000000003e-06,7.000000000000003e-06,2.2e-05,9e-06,1e-05,8e-06,1.2e-05,1.2e-05,3.1e-05,0.041281,1.8e-05,7.000000000000003e-06,2.2e-05,4.7e-05,1e-05,4.1e-05,2.9999999999999997e-05,0.041625,20083,20083.0,1606373522.329995
4.9e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1e-05,8e-06,1.3e-05,1.2e-05,3.1e-05,0.021663,1e-05,6e-06,1.5e-05,3.7e-05,8e-06,4.8e-05,2.7e-05,0.021983000000000003,20464,20464.0,1606373582.4264302
5.400000000000001e-05,7.000000000000003e-06,8e-06,2.5e-05,9e-06,1.1e-05,7.000000000000003e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.2e-05,0.042393,1.7e-05,7.000000000000003e-06,2.2e-05,4.6e-05,1e-05,3.7e-05,1.4000000000000001e-05,0.042725,20845,20845.0,1606373642.5158994
6.500000000000001e-05,9e-06,1.2e-05,3.9e-05,1.2e-05,1.4e-05,1.1e-05,1.8e-05,1.7e-05,4.2e-05,0.026581,1e-05,6e-06,1.7e-05,3.4e-05,8e-06,3.2e-05,1.3e-05,0.02694,21177,21177.0,1606373702.5942125
5.2000000000000004e-05,7.000000000000003e-06,8e-06,2.2e-05,9e-06,1e-05,8e-06,1.3000000000000001e-05,1.2e-05,3.1e-05,0.045187,1.7e-05,7.000000000000003e-06,2.2e-05,5.400000000000001e-05,1.1e-05,3.9e-05,1.4000000000000001e-05,0.045523,21546,21546.0,1606373762.7184892
3.9e-05,6e-06,6e-06,1.7e-05,7.000000000000003e-06,7.000000000000003e-06,6e-06,1e-05,1e-05,2.4e-05,0.022539,1.2e-05,6e-06,1.7e-05,4.1e-05,8e-06,3.2e-05,1.3e-05,0.0228,21912,21912.0,1606373822.8191836
5.2000000000000004e-05,7.000000000000003e-06,8e-06,2.2e-05,8e-06,1e-05,8e-06,1.3000000000000001e-05,1.2e-05,3.1e-05,0.046083,1.7e-05,7.000000000000003e-06,2.1e-05,5.2000000000000004e-05,1e-05,3.7e-05,1.4000000000000001e-05,0.046412,22272,22272.0,1606373882.9432495
6.3e-05,7.000000000000003e-06,9e-06,2.6e-05,9e-06,1.1e-05,9e-06,1.4e-05,1.4e-05,3.5e-05,0.046746,1.8e-05,8e-06,2.2e-05,5.3e-05,1e-05,3.7e-05,1.5e-05,0.047106,22635,22635.0,1606373943.0679483
5.6999999999999996e-05,7.000000000000003e-06,9e-06,2.5e-05,1e-05,1.1e-05,8e-06,1.4000000000000001e-05,1.4000000000000001e-05,3.6e-05,0.024464,1e-05,6e-06,1.6e-05,3.7e-05,9e-06,3.1e-05,1.2e-05,0.024776,22992,22992.0,1606374003.1717982
5e-05,7.000000000000003e-06,7.000000000000003e-06,2.1e-05,8e-06,9e-06,7.000000000000003e-06,1.2e-05,1.2e-05,2.9e-05,0.04874,1.3e-05,7.000000000000003e-06,2e-05,5e-05,1e-05,5.3e-05,2.9e-05,0.049084,23348,23348.0,1606374063.2968054
5.3e-05,7.000000000000003e-06,8e-06,2.2e-05,9e-06,1e-05,8e-06,1.2e-05,1.2e-05,3.1e-05,0.04844,1.7e-05,7.000000000000003e-06,2.1e-05,5.6999999999999996e-05,1e-05,3.8e-05,1.4000000000000001e-05,0.048776,23704,23704.0,1606374123.4252114
