starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,executing,end,query end,waiting for handler commit,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
8e-05,7.000000000000003e-06,1.5e-05,8.1e-05,1.1e-05,1.1e-05,1.7e-05,2.4e-05,8.1e-05,1.167756,1.8e-05,6e-06,0.000618,1e-05,1.6e-05,1.3e-05,1.168764,62640,11481.912,1606375523.4132102
5.600000000000001e-05,7.000000000000003e-06,1.1e-05,5e-05,8e-06,8e-06,1.2e-05,1.6e-05,6.1e-05,1.459475,2e-05,8e-06,0.000962,1.4999999999999999e-05,2.3e-05,1.8e-05,1.46075,63280,11599.223999999998,1606375587.975916
8.4e-05,7.000000000000003e-06,1.4e-05,8.1e-05,1e-05,1.1e-05,1.8e-05,2.4e-05,8.1e-05,1.139525,2.1e-05,8e-06,0.000954,1.4e-05,2.2e-05,1.7e-05,1.140891,63910,11714.703,1606375653.5975866
7.900000000000001e-05,8e-06,1.4000000000000001e-05,8e-05,1e-05,1.1e-05,1.8e-05,2.4e-05,8.1e-05,1.371885,2e-05,8e-06,0.001037,1.7e-05,2.4e-05,1.9e-05,1.373335,64550,11832.015,1606375718.3868046
7.7e-05,8e-06,1.4e-05,8e-05,1e-05,1.1e-05,1.7e-05,2.3e-05,9.5e-05,1.905421,2e-05,7.000000000000003e-06,0.000965,1.6e-05,2.3e-05,1.8e-05,1.906805,64918,11899.4694,1606375783.8701382
8.1e-05,8e-06,1.4000000000000001e-05,8e-05,1e-05,1.1e-05,1.8e-05,2.4e-05,8e-05,1.9631020000000001,1.8e-05,8e-06,0.0009199999999999999,1.4999999999999999e-05,2.3e-05,1.8e-05,1.96443,65548,12014.9484,1606375849.2773268
8.1e-05,7.000000000000003e-06,1.4e-05,8e-05,1.1e-05,1.1e-05,1.7e-05,2.3e-05,8e-05,1.075207,2e-05,7.000000000000003e-06,0.00096,1.4e-05,1.9e-05,1.7e-05,1.076568,66172,12129.3276,1606375914.868422
0.000101,9e-06,1.9e-05,9.6e-05,1.3000000000000001e-05,1.4000000000000001e-05,2.4e-05,3.2e-05,0.00010700000000000001,2.052172,1.9e-05,8e-06,0.001347,1.6e-05,2.4e-05,1.9e-05,2.05402,66804,12245.1732,1606375979.9189527
7.4e-05,7.000000000000003e-06,1.2e-05,7.6e-05,9e-06,1e-05,1.6e-05,2.2e-05,7.6e-05,2.695742,2e-05,7.000000000000003e-06,0.001226,1.5e-05,2.2e-05,1.7e-05,2.697351,67426,12359.1858,1606376045.7913265
8.1e-05,8e-06,1.6e-05,8.1e-05,1.2e-05,1e-05,1.7e-05,3.5e-05,8.3e-05,1.904238,1.9e-05,1e-05,0.001221,1.7e-05,2.6000000000000002e-05,1.9e-05,1.905893,68048,12473.1984,1606376111.3507931
8.2e-05,8e-06,1.5e-05,8.2e-05,1.1e-05,1.1e-05,1.8e-05,2.5e-05,8.3e-05,2.133782,2.2e-05,7.000000000000003e-06,0.001242,1.4e-05,2.4e-05,1.8e-05,2.135444,68660,12585.378,1606376177.9814398
0.0001,8e-06,1.4999999999999999e-05,9e-05,1.1e-05,1.1e-05,1.8e-05,2.7000000000000002e-05,8.7e-05,2.5100599999999997,2e-05,9e-06,0.0010609999999999999,1.4000000000000001e-05,2.3e-05,1.7e-05,2.511571,69276,12698.2908,1606376244.2388148
6e-05,6e-06,1.2e-05,5.3e-05,8e-06,8e-06,2.1e-05,1.8e-05,6.1e-05,2.726551,1.8e-05,7.000000000000003e-06,0.001231,1.4e-05,2.1e-05,1.7e-05,2.728106,69882,12809.3706,1606376309.503944
6.6e-05,7.000000000000003e-06,2.7000000000000002e-05,6.8e-05,9e-06,1e-05,1.6e-05,2.3e-05,7.5e-05,2.698073,1.9e-05,7.000000000000003e-06,0.001334,1.3000000000000001e-05,2.2e-05,1.7e-05,2.699786,70476,12918.2508,1606376376.3943715
8.1e-05,8e-06,1.4e-05,8.1e-05,1e-05,1.1e-05,1.8e-05,2.4e-05,0.000103,2.036519,1.9e-05,7.000000000000003e-06,0.001332,1.4e-05,2.3e-05,1.7e-05,2.038281,71080,13028.964,1606376442.8556292
